Date Collected,Date Expt,Treatment,SCP,Mass
08-Aug-23,11-Aug-23,Summer,-2.9,1.31
08-Aug-23,11-Aug-23,Summer,-3.3,1.25
08-Aug-23,11-Aug-23,Summer,-3.5,1.72
08-Aug-23,11-Aug-23,Summer,-3.6,1.14
08-Aug-23,11-Aug-23,Summer,-4,0.81
08-Aug-23,11-Aug-23,Summer,-3.9,1.3
08-Aug-23,11-Aug-23,Summer,-5,1.25
08-Aug-23,11-Aug-23,Summer,-4.6,1.12
27-Aug-23,18-Sep-23,Summer,-4.4,0.65
27-Aug-23,18-Sep-23,Summer,-4.1,1
27-Aug-23,18-Sep-23,Summer,-5.4,0.52
27-Aug-23,18-Sep-23,Summer,-5.4,0.51
27-Aug-23,18-Sep-23,Summer,-4.9,0.66
27-Aug-23,18-Sep-23,Summer,-4.5,0.75
27-Aug-23,18-Sep-23,Summer,-5.4,0.55
27-Aug-23,18-Sep-23,Summer,-5,0.63
27-Aug-23,11-Oct-23,Fall,-4.3,0.45
27-Aug-23,11-Oct-23,Fall,-5.7,0.72
27-Aug-23,11-Oct-23,Fall,-4.9,0.45
27-Aug-23,11-Oct-23,Fall,-6.1,0.43
27-Aug-23,11-Oct-23,Fall,-4.6,0.54
27-Aug-23,11-Oct-23,Fall,-2.2,0.35
